sample_id,environment,ros2_pub_command,raw_rrt,raw_llm,s_u,s_x
309,"{""start"":{""x"":3.63,""y"":0.89,""z"":-0.25},""goal"":{""x"":0.23,""y"":0.86,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.0,1.64,-0.75],""max_corner"":[3.39,1.92,0.25],""size"":[0.4,0.28,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.0,1.64,-0.75],\""max_corner\"":[3.39,1.92,0.25],\""size\"":[0.4,0.28,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.63,""y"":0.89,""z"":-0.25},{""x"":0.23,""y"":0.86,""z"":-0.25}]","[{""x"":3.63,""y"":0.89,""z"":-0.25},{""x"":0.23,""y"":0.86,""z"":-0.25}]",0.0,0.0
310,"{""start"":{""x"":3.22,""y"":3.85,""z"":-0.25},""goal"":{""x"":1.61,""y"":3.59,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.77,2.18,-0.75],""max_corner"":[3.29,2.49,0.25],""size"":[0.52,0.31,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.08,2.05,-0.75],""max_corner"":[3.82,2.37,0.25],""size"":[0.74,0.31,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.77,2.18,-0.75],\""max_corner\"":[3.29,2.49,0.25],\""size\"":[0.52,0.31,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.08,2.05,-0.75],\""max_corner\"":[3.82,2.37,0.25],\""size\"":[0.74,0.31,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.22,""y"":3.85,""z"":-0.25},{""x"":1.61,""y"":3.59,""z"":-0.25}]","[{""x"":3.22,""y"":3.85,""z"":-0.25},{""x"":1.61,""y"":3.59,""z"":-0.25}]",0.0,0.0
311,"{""start"":{""x"":2.65,""y"":4.0,""z"":-0.25},""goal"":{""x"":0.01,""y"":3.99,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.74,1.14,-0.75],""max_corner"":[2.41,1.52,0.25],""size"":[0.67,0.38,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.74,1.14,-0.75],\""max_corner\"":[2.41,1.52,0.25],\""size\"":[0.67,0.38,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.65,""y"":4.0,""z"":-0.25},{""x"":0.01,""y"":3.99,""z"":-0.25}]","[{""x"":2.65,""y"":4.0,""z"":-0.25},{""x"":0.01,""y"":3.99,""z"":-0.25}]",0.0,0.0
312,"{""start"":{""x"":0.25,""y"":0.79,""z"":-0.25},""goal"":{""x"":0.2,""y"":1.88,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.65,1.26,-0.75],""max_corner"":[1.34,1.58,0.25],""size"":[0.69,0.32,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.84,1.24,-0.75],""max_corner"":[2.54,1.99,0.25],""size"":[0.7,0.75,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.99,0.71,-0.75],""max_corner"":[2.54,1.43,0.25],""size"":[0.55,0.72,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[2.49,3.43,-0.75],""max_corner"":[2.89,3.72,0.25],""size"":[0.4,0.29,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.65,1.26,-0.75],\""max_corner\"":[1.34,1.58,0.25],\""size\"":[0.69,0.32,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.84,1.24,-0.75],\""max_corner\"":[2.54,1.99,0.25],\""size\"":[0.7,0.75,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.99,0.71,-0.75],\""max_corner\"":[2.54,1.43,0.25],\""size\"":[0.55,0.72,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[2.49,3.43,-0.75],\""max_corner\"":[2.89,3.72,0.25],\""size\"":[0.4,0.29,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.25,""y"":0.79,""z"":-0.25},{""x"":0.2,""y"":1.88,""z"":-0.25}]","[{""x"":0.25,""y"":0.79,""z"":-0.25},{""x"":0.2,""y"":1.88,""z"":-0.25}]",0.0,0.0
313,"{""start"":{""x"":1.76,""y"":1.24,""z"":-0.25},""goal"":{""x"":3.24,""y"":1.18,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":1.76,""y"":1.24,""z"":-0.25},{""x"":3.24,""y"":1.18,""z"":-0.25}]","[{""x"":1.76,""y"":1.24,""z"":-0.25},{""x"":3.24,""y"":1.18,""z"":-0.25}]",0.0,0.0
314,"{""start"":{""x"":1.43,""y"":3.86,""z"":-0.25},""goal"":{""x"":1.58,""y"":2.45,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.43,2.91,-0.75],""max_corner"":[3.78,3.3,0.25],""size"":[0.35,0.4,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.08,0.24,-0.75],""max_corner"":[0.63,0.79,0.25],""size"":[0.55,0.55,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[3.3,0.58,-0.75],""max_corner"":[3.83,0.85,0.25],""size"":[0.53,0.26,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[3.24,2.14,-0.75],""max_corner"":[3.97,2.65,0.25],""size"":[0.73,0.5,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.43,2.91,-0.75],\""max_corner\"":[3.78,3.3,0.25],\""size\"":[0.35,0.4,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.08,0.24,-0.75],\""max_corner\"":[0.63,0.79,0.25],\""size\"":[0.55,0.55,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[3.3,0.58,-0.75],\""max_corner\"":[3.83,0.85,0.25],\""size\"":[0.53,0.26,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[3.24,2.14,-0.75],\""max_corner\"":[3.97,2.65,0.25],\""size\"":[0.73,0.5,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.43,""y"":3.86,""z"":-0.25},{""x"":1.58,""y"":2.45,""z"":-0.25}]","[{""x"":1.43,""y"":3.86,""z"":-0.25},{""x"":1.58,""y"":2.45,""z"":-0.25}]",0.0,0.0
315,"{""start"":{""x"":3.08,""y"":1.06,""z"":-0.25},""goal"":{""x"":2.02,""y"":1.31,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[1.97,2.48,-0.75],""max_corner"":[2.64,2.85,0.25],""size"":[0.67,0.38,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.92,2.85,-0.75],""max_corner"":[2.6,3.34,0.25],""size"":[0.68,0.48,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[1.97,2.48,-0.75],\""max_corner\"":[2.64,2.85,0.25],\""size\"":[0.67,0.38,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.92,2.85,-0.75],\""max_corner\"":[2.6,3.34,0.25],\""size\"":[0.68,0.48,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.08,""y"":1.06,""z"":-0.25},{""x"":2.02,""y"":1.31,""z"":-0.25}]","[{""x"":3.08,""y"":1.06,""z"":-0.25},{""x"":2.02,""y"":1.31,""z"":-0.25}]",0.0,0.0
316,"{""start"":{""x"":0.15,""y"":0.9,""z"":-0.25},""goal"":{""x"":2.54,""y"":3.01,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":0.15,""y"":0.9,""z"":-0.25},{""x"":2.54,""y"":3.01,""z"":-0.25}]","[{""x"":0.15,""y"":0.9,""z"":-0.25},{""x"":2.54,""y"":3.01,""z"":-0.25}]",0.0,0.0
317,"{""start"":{""x"":0.35,""y"":1.4,""z"":-0.25},""goal"":{""x"":3.09,""y"":0.49,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":0.35,""y"":1.4,""z"":-0.25},{""x"":3.09,""y"":0.49,""z"":-0.25}]","[{""x"":0.35,""y"":1.4,""z"":-0.25},{""x"":3.09,""y"":0.49,""z"":-0.25}]",0.0,0.0
318,"{""start"":{""x"":1.38,""y"":3.78,""z"":-0.25},""goal"":{""x"":3.21,""y"":1.73,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.31,2.75,-0.75],""max_corner"":[0.8,3.2,0.25],""size"":[0.49,0.44,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.14,2.59,-0.75],""max_corner"":[0.55,3.23,0.25],""size"":[0.41,0.64,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.31,2.75,-0.75],\""max_corner\"":[0.8,3.2,0.25],\""size\"":[0.49,0.44,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.14,2.59,-0.75],\""max_corner\"":[0.55,3.23,0.25],\""size\"":[0.41,0.64,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.38,""y"":3.78,""z"":-0.25},{""x"":3.21,""y"":1.73,""z"":-0.25}]","[{""x"":1.38,""y"":3.78,""z"":-0.25},{""x"":3.21,""y"":1.73,""z"":-0.25}]",0.0,0.0
319,"{""start"":{""x"":0.82,""y"":2.1,""z"":-0.25},""goal"":{""x"":3.23,""y"":0.2,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.44,2.45,-0.75],""max_corner"":[3.12,3.07,0.25],""size"":[0.68,0.62,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.44,2.45,-0.75],\""max_corner\"":[3.12,3.07,0.25],\""size\"":[0.68,0.62,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.82,""y"":2.1,""z"":-0.25},{""x"":3.23,""y"":0.2,""z"":-0.25}]","[{""x"":0.82,""y"":2.1,""z"":-0.25},{""x"":3.23,""y"":0.2,""z"":-0.25}]",0.0,0.0
320,"{""start"":{""x"":0.46,""y"":3.54,""z"":-0.25},""goal"":{""x"":2.08,""y"":0.89,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.59,2.14,-0.75],""max_corner"":[2.96,2.83,0.25],""size"":[0.37,0.69,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.72,0.34,-0.75],""max_corner"":[3.16,0.62,0.25],""size"":[0.44,0.29,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[3.06,0.06,-0.75],""max_corner"":[3.66,0.31,0.25],""size"":[0.59,0.26,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.59,2.14,-0.75],\""max_corner\"":[2.96,2.83,0.25],\""size\"":[0.37,0.69,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.72,0.34,-0.75],\""max_corner\"":[3.16,0.62,0.25],\""size\"":[0.44,0.29,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[3.06,0.06,-0.75],\""max_corner\"":[3.66,0.31,0.25],\""size\"":[0.59,0.26,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":0.46,""y"":3.54,""z"":-0.25},{""x"":2.08,""y"":0.89,""z"":-0.25}]","[{""x"":0.46,""y"":3.54,""z"":-0.25},{""x"":2.08,""y"":0.89,""z"":-0.25}]",0.0,0.0
321,"{""start"":{""x"":2.57,""y"":2.81,""z"":-0.25},""goal"":{""x"":1.01,""y"":2.37,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.6,1.36,-0.75],""max_corner"":[1.01,1.62,0.25],""size"":[0.41,0.25,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.95,1.71,-0.75],""max_corner"":[2.68,2.3,0.25],""size"":[0.73,0.59,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.65,3.25,-0.75],""max_corner"":[2.22,3.75,0.25],""size"":[0.57,0.5,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[0.07,1.63,-0.75],""max_corner"":[0.5,2.13,0.25],""size"":[0.43,0.5,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.6,1.36,-0.75],\""max_corner\"":[1.01,1.62,0.25],\""size\"":[0.41,0.25,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.95,1.71,-0.75],\""max_corner\"":[2.68,2.3,0.25],\""size\"":[0.73,0.59,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.65,3.25,-0.75],\""max_corner\"":[2.22,3.75,0.25],\""size\"":[0.57,0.5,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[0.07,1.63,-0.75],\""max_corner\"":[0.5,2.13,0.25],\""size\"":[0.43,0.5,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.57,""y"":2.81,""z"":-0.25},{""x"":1.52,""y"":2.79,""z"":-0.25},{""x"":1.01,""y"":2.37,""z"":-0.25}]","[{""x"":2.57,""y"":2.81,""z"":-0.25},{""x"":1.01,""y"":2.37,""z"":-0.25}]",0.229768,0.184335
322,"{""start"":{""x"":3.55,""y"":0.98,""z"":-0.25},""goal"":{""x"":0.04,""y"":0.07,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.43,1.13,-0.75],""max_corner"":[2.88,1.77,0.25],""size"":[0.45,0.64,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.43,1.13,-0.75],\""max_corner\"":[2.88,1.77,0.25],\""size\"":[0.45,0.64,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.55,""y"":0.98,""z"":-0.25},{""x"":3.35,""y"":0.69,""z"":-0.25},{""x"":0.04,""y"":0.07,""z"":-0.25}]","[{""x"":3.55,""y"":0.98,""z"":-0.25},{""x"":3.55,""y"":0.63,""z"":-0.25},{""x"":0.04,""y"":0.07,""z"":-0.25}]",0.612547,0.269586
323,"{""start"":{""x"":3.39,""y"":0.46,""z"":-0.25},""goal"":{""x"":0.61,""y"":2.55,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[],\""timestamp\"":0.0}""}'","[{""x"":3.39,""y"":0.46,""z"":-0.25},{""x"":0.61,""y"":2.55,""z"":-0.25}]","[{""x"":3.39,""y"":0.46,""z"":-0.25},{""x"":0.61,""y"":2.55,""z"":-0.25}]",0.0,0.0
324,"{""start"":{""x"":2.56,""y"":3.28,""z"":-0.25},""goal"":{""x"":3.66,""y"":3.13,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.1,1.74,-0.75],""max_corner"":[2.51,2.42,0.25],""size"":[0.4,0.68,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[0.47,1.46,-0.75],""max_corner"":[0.99,2.15,0.25],""size"":[0.52,0.69,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.1,1.74,-0.75],\""max_corner\"":[2.51,2.42,0.25],\""size\"":[0.4,0.68,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[0.47,1.46,-0.75],\""max_corner\"":[0.99,2.15,0.25],\""size\"":[0.52,0.69,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":2.56,""y"":3.28,""z"":-0.25},{""x"":3.66,""y"":3.13,""z"":-0.25}]","[{""x"":2.56,""y"":3.28,""z"":-0.25},{""x"":3.66,""y"":3.13,""z"":-0.25}]",0.0,0.0
325,"{""start"":{""x"":1.78,""y"":1.76,""z"":-0.25},""goal"":{""x"":1.56,""y"":0.66,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.21,2.19,-0.75],""max_corner"":[0.7,2.82,0.25],""size"":[0.49,0.64,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[3.05,1.58,-0.75],""max_corner"":[3.5,2.23,0.25],""size"":[0.45,0.65,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[0.41,2.27,-0.75],""max_corner"":[0.8,2.65,0.25],""size"":[0.39,0.38,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.21,2.19,-0.75],\""max_corner\"":[0.7,2.82,0.25],\""size\"":[0.49,0.64,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[3.05,1.58,-0.75],\""max_corner\"":[3.5,2.23,0.25],\""size\"":[0.45,0.65,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[0.41,2.27,-0.75],\""max_corner\"":[0.8,2.65,0.25],\""size\"":[0.39,0.38,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":1.78,""y"":1.76,""z"":-0.25},{""x"":1.56,""y"":0.66,""z"":-0.25}]","[{""x"":1.78,""y"":1.76,""z"":-0.25},{""x"":1.56,""y"":0.66,""z"":-0.25}]",0.0,0.0
326,"{""start"":{""x"":3.98,""y"":1.68,""z"":-0.25},""goal"":{""x"":1.53,""y"":3.79,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[0.29,0.0,-0.75],""max_corner"":[0.84,0.73,0.25],""size"":[0.55,0.72,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[1.35,2.75,-0.75],""max_corner"":[2.1,3.21,0.25],""size"":[0.75,0.46,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[1.69,0.86,-0.75],""max_corner"":[2.42,1.33,0.25],""size"":[0.73,0.48,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[2.26,2.04,-0.75],""max_corner"":[2.94,2.75,0.25],""size"":[0.68,0.71,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[0.29,0.0,-0.75],\""max_corner\"":[0.84,0.73,0.25],\""size\"":[0.55,0.72,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[1.35,2.75,-0.75],\""max_corner\"":[2.1,3.21,0.25],\""size\"":[0.75,0.46,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[1.69,0.86,-0.75],\""max_corner\"":[2.42,1.33,0.25],\""size\"":[0.73,0.48,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[2.26,2.04,-0.75],\""max_corner\"":[2.94,2.75,0.25],\""size\"":[0.68,0.71,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.98,""y"":1.68,""z"":-0.25},{""x"":3.57,""y"":3.08,""z"":-0.25},{""x"":2.89,""y"":3.55,""z"":-0.25},{""x"":1.53,""y"":3.79,""z"":-0.25}]","[{""x"":3.98,""y"":1.68,""z"":-0.25},{""x"":3.38,""y"":3.43,""z"":-0.25},{""x"":1.53,""y"":3.79,""z"":-0.25}]",0.175966,0.147376
327,"{""start"":{""x"":3.69,""y"":1.39,""z"":-0.25},""goal"":{""x"":2.15,""y"":1.07,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[3.06,3.17,-0.75],""max_corner"":[3.68,3.59,0.25],""size"":[0.62,0.42,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.84,2.88,-0.75],""max_corner"":[3.19,3.59,0.25],""size"":[0.35,0.72,1.0]},{""id"":3,""label"":""box_3"",""shape"":""box"",""min_corner"":[3.27,2.28,-0.75],""max_corner"":[3.54,2.65,0.25],""size"":[0.27,0.37,1.0]},{""id"":4,""label"":""box_4"",""shape"":""box"",""min_corner"":[0.11,0.41,-0.75],""max_corner"":[0.62,0.88,0.25],""size"":[0.51,0.47,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[3.06,3.17,-0.75],\""max_corner\"":[3.68,3.59,0.25],\""size\"":[0.62,0.42,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.84,2.88,-0.75],\""max_corner\"":[3.19,3.59,0.25],\""size\"":[0.35,0.72,1.0]},{\""id\"":3,\""label\"":\""box_3\"",\""shape\"":\""box\"",\""min_corner\"":[3.27,2.28,-0.75],\""max_corner\"":[3.54,2.65,0.25],\""size\"":[0.27,0.37,1.0]},{\""id\"":4,\""label\"":\""box_4\"",\""shape\"":\""box\"",\""min_corner\"":[0.11,0.41,-0.75],\""max_corner\"":[0.62,0.88,0.25],\""size\"":[0.51,0.47,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.69,""y"":1.39,""z"":-0.25},{""x"":2.15,""y"":1.07,""z"":-0.25}]","[{""x"":3.69,""y"":1.39,""z"":-0.25},{""x"":2.15,""y"":1.07,""z"":-0.25}]",0.0,0.0
328,"{""start"":{""x"":3.39,""y"":2.12,""z"":-0.25},""goal"":{""x"":3.83,""y"":3.74,""z"":-0.25},""workspace"":{""x"":[0.0,4.0],""y"":[0.0,4.0],""z"":-0.25},""obstacles"":[{""id"":1,""label"":""box_1"",""shape"":""box"",""min_corner"":[2.43,2.83,-0.75],""max_corner"":[2.86,3.41,0.25],""size"":[0.43,0.58,1.0]},{""id"":2,""label"":""box_2"",""shape"":""box"",""min_corner"":[2.57,1.13,-0.75],""max_corner"":[3.06,1.47,0.25],""size"":[0.48,0.34,1.0]}]}","ros2 topic pub -r 2 /llm_vision/sim_obstacles std_msgs/msg/String '{""data"":""{\""obstacles\"":[{\""id\"":1,\""label\"":\""box_1\"",\""shape\"":\""box\"",\""min_corner\"":[2.43,2.83,-0.75],\""max_corner\"":[2.86,3.41,0.25],\""size\"":[0.43,0.58,1.0]},{\""id\"":2,\""label\"":\""box_2\"",\""shape\"":\""box\"",\""min_corner\"":[2.57,1.13,-0.75],\""max_corner\"":[3.06,1.47,0.25],\""size\"":[0.48,0.34,1.0]}],\""timestamp\"":0.0}""}'","[{""x"":3.39,""y"":2.12,""z"":-0.25},{""x"":3.83,""y"":3.74,""z"":-0.25}]","[{""x"":3.39,""y"":2.12,""z"":-0.25},{""x"":3.83,""y"":3.74,""z"":-0.25}]",0.0,0.0
